Date,Open,High,Low,Close,Adj Close,Volume
04-01-2018,152.629059,155.181641,152.361374,154.588913,120.165123,7903785
05-01-2018,155.296371,155.736145,154.015289,155.344162,120.752159,5434807
08-01-2018,155.506699,156.701721,154.588913,156.281067,121.480408,5478425
09-01-2018,156.692154,157.294449,155.889099,156.625244,121.747978,4541523
10-01-2018,155.745697,157.103256,155.353729,156.959854,122.008072,4366109
11-01-2018,157.552582,157.686417,156.118546,156.978973,122.022926,3969047
12-01-2018,156.806885,157.495224,155.860428,155.965576,121.235176,5263367
16-01-2018,157.839386,158.021027,156.166351,156.644363,121.762833,8152733
17-01-2018,160.621414,161.692154,159.904404,161.233276,125.32988,12248660
18-01-2018,162.523895,163.604202,160.755264,161.682602,125.679138,14915228
19-01-2018,157.227539,158.12619,154.206497,155.229446,120.662979,22146435
22-01-2018,154.407272,156.768646,154.024857,155.449326,120.833923,8870917
23-01-2018,155.659653,158.94838,155.363297,158.938812,123.546318,7809645
24-01-2018,159.416824,161.300186,157.571701,158.097519,122.89241,5904670
25-01-2018,158.61377,159.445511,157.92543,158.193115,122.966705,3454415
26-01-2018,158.814529,160.047806,158.499039,159.980881,124.356354,3962143
29-01-2018,160.086044,160.984711,158.709366,159.46463,123.95507,3678782
30-01-2018,158.900574,159.435944,155.984711,156.424469,121.591919,5127806
31-01-2018,156.548752,157.734222,155.602295,156.500961,121.651352,4260149
01-02-2018,156.013382,156.912048,154.780121,155.258133,120.685272,4638173
02-02-2018,154.588913,154.875717,151.883362,152.036331,118.180885,5493487
05-02-2018,150.946457,151.529633,143.403442,145.822174,113.35054,9148944
06-02-2018,143.680695,148.652008,142.552582,148.508606,115.438759,10321614
07-02-2018,147.39006,148.508606,146.5392,147.084137,114.331505,6432063
08-02-2018,145.774384,146.424469,141.013382,141.099426,110.759323,7090939
09-02-2018,142.065002,143.919693,138.049713,142.934998,112.200172,8188402
12-02-2018,144.263855,145.697891,143.690247,144.741867,113.61853,6151944
13-02-2018,144.263855,144.531555,143.05928,144.120453,113.13076,5115986
14-02-2018,143.585083,148.183563,143.403442,147.954117,116.140068,5731034
15-02-2018,148.661575,149.961761,146.94072,149.149139,117.078125,5882286
16-02-2018,148.862335,150.850861,148.843216,149.311661,117.205704,4479913
20-02-2018,148.938812,149.101334,147.103256,148.336517,116.440254,4696122
21-02-2018,148.59465,149.894836,147.131927,147.189301,115.539726,3900116
22-02-2018,147.705551,148.221802,146.07074,146.443588,114.95433,4209732
23-02-2018,147.514343,148.99617,147.294449,148.680695,116.710396,3405881
26-02-2018,148.957932,151.892929,148.671127,151.606125,119.006798,3776374
27-02-2018,151.491394,152.753342,149.646271,149.66539,117.483368,4432216
28-02-2018,150.573608,151.185471,148.94838,148.977051,116.943047,3978461
01-03-2018,148.690247,150.066925,146.07074,147.045883,115.427132,4225108
02-03-2018,146.07074,147.954117,145.20076,147.695984,115.937424,3411111
05-03-2018,147.342255,150.564056,146.988525,150.047806,117.783562,3839448
06-03-2018,150.363297,150.946457,148.336517,148.871887,116.860474,3855242
07-03-2018,148.183563,151.845123,147.92543,151.357559,118.811676,4819654
08-03-2018,152.007645,152.552582,148.250473,149.340347,117.228218,6752558
09-03-2018,150.544937,152.562134,150.382416,152.304016,119.554626,5253221
12-03-2018,152.619507,153.938812,151.883362,153.212234,120.267563,5296421
13-03-2018,153.049713,154.980881,151.826004,152.313583,119.562134,4378138
14-03-2018,153.12619,153.61377,150.803055,151.166351,118.661575,3798863
15-03-2018,151.730408,154.158707,151.548752,152.59082,119.779778,4048648
16-03-2018,153.021027,154.856598,152.619507,153.212234,120.267563,9688784
19-03-2018,152.686417,152.858505,149.569794,150.430206,118.083733,5734172
20-03-2018,150.592728,150.984711,148.4608,149.33078,117.220695,4536188
21-03-2018,149.684509,151.242828,149.063095,149.79924,117.58844,3642381
22-03-2018,148.183563,148.422562,145.315491,145.401535,114.136337,4964630
23-03-2018,145.554489,145.86998,142.007645,142.342255,111.734894,4645181
26-03-2018,144.560226,146.902481,143.671127,146.625244,115.096947,4292679
27-03-2018,147.179733,148.05928,144.512421,145.229446,114.001282,4062350
28-03-2018,145.382416,147.093689,145.210327,145.812622,114.459053,3833381
29-03-2018,146.338425,147.122375,144.435944,146.682602,115.141953,3577320
02-04-2018,146.596558,146.634796,141.902481,143.470367,112.620415,5387318
03-04-2018,144.168259,144.359467,141.778198,143.26004,112.45533,4325942
04-04-2018,141.38623,147.676865,140.965576,147.342255,115.659767,5026344
05-04-2018,147.648178,148.107071,146.596558,147.25621,115.592239,3331928
06-04-2018,146.711288,147.179733,142.963669,143.94838,112.995682,3841853
09-04-2018,145.124283,147.858505,145.066925,145.975143,114.586617,4616207
10-04-2018,148.212234,149.713196,147.94455,148.556412,116.612869,3981494
11-04-2018,147.581268,148.92926,147.112808,148.527725,116.590332,3458599
12-04-2018,149.856598,151.988525,149.780121,151.118546,118.624054,5898812
13-04-2018,151.692154,152.217972,149.053543,149.818359,117.603462,4243727
16-04-2018,151.042068,152.141495,150.736145,150.946457,118.488968,4379393
17-04-2018,151.835571,154.875717,151.5392,153.833649,120.755325,10677045
18-04-2018,145.449326,145.917786,141.73996,142.246658,111.659859,21319258
19-04-2018,142.629059,142.648178,140.172089,141.20459,110.841866,8458061
20-04-2018,141.395798,141.462708,138.154877,138.527725,108.740593,8645818
23-04-2018,138.652008,139.541107,137.982788,139.445511,109.461037,5560118
24-04-2018,140.066925,140.822174,138.173996,139.158707,109.235878,5142659
25-04-2018,139.378586,139.961761,137.772461,139.521988,109.521072,7663414
26-04-2018,140.152969,140.879547,139.770554,140.267685,110.10643,4462027
